"Dish Name,States (Commonly Found In),Area Type (Rural/Urban/Both),Diet Type,Income Range (Commonly Consumed By)"
"Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),Uttar Pradesh;Delhi;Haryana;Rajasthan;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Paneer stuffed cheela/chilla,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Indian style egg bhujia (Anda bhujia (Indian style)),All Indian States and UTs,both,Eggitarian,1-3L;3-6L"
"French omelette/omlet,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Eggitarian,3-6L;>6L"
"Puffy omelette/omlet,Delhi;Mumbai;Kolkata;Hyderabad;Pune,urban,Eggitarian,3-6L;>6L"
"Orange omelette/omlet,Delhi;Mumbai;Hyderabad;Pune;Goa,urban,Eggitarian,3-6L;>6L"
"Cheese and mushroom omelette/omlet,Delhi;Mumbai;Hyderabad;Pune;Bengaluru,urban,Eggitarian,3-6L;>6L"
"Spanish omelette/omlet,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Eggitarian,3-6L;>6L"
"Mixed stock,Delhi;Mumbai;Hyderabad;Kolkata;Chennai,urban,Non-Vegetarian,3-6L;>6L"
"Meat stock,Delhi;Mumbai;Hyderabad;Kolkata;Chennai,urban,Non-Vegetarian,3-6L;>6L"
"White stock,Delhi;Mumbai;Hyderabad;Kolkata;Chennai,urban,Non-Vegetarian,3-6L;>6L"
"Meat consomme (with mutton),Delhi;Mumbai;Hyderabad;Kolkata;Chennai,urban,Non-Vegetarian,3-6L;>6L"
"Consomme au julienne,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Consomme au vermicelli,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Green pea soup (Matar ka soup),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Spinach soup (Palak ka soup),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Mixed vegetable soup,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Cheese soup,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Vegetarian,3-6L;>6L"
"Mulligatawny soup,Tamil Nadu;Karnataka;Kerala;Andhra Pradesh;Delhi,both,Vegetarian,3-6L;>6L"
"Cream of carrot soup,Delhi;Mumbai;Hyderabad;Kolkata;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Cream of broccoli soup,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cream of potato soup,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Vegetarian,3-6L;>6L"
"Almond soup (Badam ka soup),Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Vegetarian,3-6L;>6L"
"Cold cucumber cream soup ,Delhi;Mumbai;Bengaluru;Pune;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Cold tomato soup,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chicken stew,Kerala;Tamil Nadu;Goa;Karnataka;Delhi,both,Non-Vegetarian,3-6L;>6L"
"Veg paneer stew,Delhi;Mumbai;Kolkata;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Methi parantha/paratha,Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Bathua poori,Uttar Pradesh;Bihar;Haryana;Delhi;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Gram flour poori (Besan poori),Rajasthan;Madhya Pradesh;Uttar Pradesh;Haryana;Delhi,both,Vegetarian,1-3L;3-6L"
"Beetroot poori (Chukandar ki poori),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Peas poori (Matar ki poori),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Peas kachori (Matar kachori),Uttar Pradesh;Rajasthan;Delhi;Madhya Pradesh;Bihar,both,Vegetarian,1-3L;3-6L"
"Pizza,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Bacon and mushroom pancake,Delhi;Mumbai;Goa;Hyderabad;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Cheese and tomato pancake,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Minced meat pancake (with chicken),Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Non-Vegetarian,3-6L;>6L"
"Eggplant/Brinjal rice (Vangi bhat),Maharashtra;Karnataka;Andhra Pradesh;Tamil Nadu;Telangana,both,Vegetarian,1-3L;3-6L"
"Kashmiri 'tahar',Jammu and Kashmir;Ladakh,both,Vegetarian,3-6L"
"Cumin pulao (Jeera/Zeera pulao),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Peas pulao (Matar pulao),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),Rajasthan;Madhya Pradesh;Gujarat;Delhi;Haryana,both,Vegetarian,1-3L;3-6L"
"Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),Punjab;Haryana;Delhi;Rajasthan;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Mutton pulao,Hyderabad;Lucknow;Delhi;Kolkata;Bhopal,both,Non-Vegetarian,3-6L;>6L"
"Chicken pulao,Hyderabad;Lucknow;Delhi;Kolkata;Bhopal,both,Non-Vegetarian,3-6L;>6L"
"Mexican rice,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Plain khitchdi (Plain khichri/khichdi),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Instant idli (with semolina),Tamil Nadu;Karnataka;Andhra Pradesh;Kerala;Telangana,both,Vegetarian,1-3L;3-6L"
"Plain dosa,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Masala dosa mixed vegetable fillings,Tamil Nadu;Karnataka;Andhra Pradesh;Kerala;Telangana,both,Vegetarian,1-3L;3-6L"
"Masala dosa paneer fillings,Tamil Nadu;Karnataka;Andhra Pradesh;Kerala;Telangana,urban,Vegetarian,3-6L"
"Uttapam,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Appam,Kerala;Tamil Nadu;Karnataka;Andhra Pradesh;Goa,both,Vegetarian,1-3L;3-6L"
"Beans and macaroni,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Spaghetti bolognese,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Meat and macaroni casserole,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Spaghetti with meat balls and tomato sauce,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Spaghetti with paneer balls and tomato sauce,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Lasagne with meat sauce,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Lasagne with vegetables,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Home made egg noodles,Delhi;Mumbai;Bengaluru;Kolkata;Hyderabad,urban,Eggitarian,3-6L;>6L"
"Sour lentils (Khatti dal),Andhra Pradesh;Telangana;Maharashtra;Karnataka;Tamil Nadu,both,Vegetarian,1-3L;3-6L"
"Urad special dehusked,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Arhar with spinach (Arhar dal aur palak),Uttar Pradesh;Bihar;Madhya Pradesh;Delhi;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Moong dal with vadi,Rajasthan;Punjab;Haryana;Delhi;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),Tamil Nadu;Andhra Pradesh;Karnataka;Kerala;Telangana,both,Vegetarian,1-3L;3-6L"
"Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),Tamil Nadu;Andhra Pradesh;Karnataka;Kerala;Telangana,both,Vegetarian,1-3L;3-6L"
"Green gram whole with baghar (Sabut moong dal with tadka),Rajasthan;Madhya Pradesh;Delhi;Haryana;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Urad sabut special,Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Kabuli channa curry,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Besan gatte curry,Rajasthan;Haryana;Delhi;Madhya Pradesh;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Dry masala chops,Delhi;Lucknow;Hyderabad;Kolkata;Mumbai,urban,Non-Vegetarian,3-6L;>6L"
"Mutton korma,Delhi;Lucknow;Hyderabad;Kolkata;Bhopal,both,Non-Vegetarian,3-6L;>6L"
"Shahi keema kofta curry,Delhi;Lucknow;Hyderabad;Kolkata;Mumbai,urban,Non-Vegetarian,3-6L;>6L"
"Minced meat ball curry,Delhi;Lucknow;Hyderabad;Kolkata;Bhopal,urban,Non-Vegetarian,3-6L;>6L"
"Boti kebab,Lucknow;Delhi;Hyderabad;Bhopal;Kolkata,both,Non-Vegetarian,3-6L;>6L"
"Mutton seekh kebab,Lucknow;Delhi;Hyderabad;Bhopal;Kolkata,both,Non-Vegetarian,3-6L;>6L"
"Indian lamb and egg curry (Nargisi kofta),Delhi;Lucknow;Hyderabad;Bhopal;Kolkata,both,Non-Vegetarian,3-6L;>6L"
"Soya chunks sweet and sour (Nutrinugget sweet and sour),Delhi;Maharashtra;Karnataka;Rajasthan;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Soya chunks korma (Nutrinugget korma),Delhi;Maharashtra;Uttar Pradesh;Rajasthan;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Mushroom matar,Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Soya chunks and peas (Nutrinugget matar),Delhi;Maharashtra;Uttar Pradesh;Rajasthan;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Vegetable yakhni,Jammu and Kashmir;Delhi;Punjab;Haryana;Uttar Pradesh,both,Vegetarian,3-6L"
"Spinach mushroom (Palak mushroom),Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Vegetarian nargisi kofta curry,Delhi;Mumbai;Kolkata;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Roast chicken,Delhi;Lucknow;Hyderabad;Kolkata;Goa,both,Non-Vegetarian,3-6L;>6L"
"Shahi chicken masala,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Non-Vegetarian,3-6L;>6L"
"Tomato chicken,Delhi;Lucknow;Hyderabad;Kolkata;Mumbai,both,Non-Vegetarian,3-6L;>6L"
"Creamy chicken,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Broccoli chicken ala king,Delhi;Mumbai;Pune;Hyderabad;Bengaluru,urban,Non-Vegetarian,3-6L;>6L"
"Ginger chicken,Hyderabad;Chennai;Bengaluru;Kolkata;Delhi,both,Non-Vegetarian,3-6L;>6L"
"Chicken sweet and sour,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Chicken korma,Delhi;Lucknow;Hyderabad;Kolkata;Bhopal,both,Non-Vegetarian,3-6L;>6L"
"Bengal fish curry (Bengali machli curry),West Bengal;Odisha;Assam;Tripura;Bihar,both,Non-Vegetarian,1-3L;3-6L"
"Fish finger,Delhi;Mumbai;Kolkata;Hyderabad;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Fish in coconut milk (Nariyal ke doodh ke saath machli),Kerala;Goa;Tamil Nadu;Karnataka;Andhra Pradesh,both,Non-Vegetarian,3-6L"
"Prawn curry (with coconut) (Jhinga curry),Goa;Kerala;Maharashtra;Andhra Pradesh;West Bengal,both,Non-Vegetarian,3-6L;>6L"
"Baked stuffed fish,Goa;Mumbai;Kolkata;Hyderabad;Bengaluru,urban,Non-Vegetarian,3-6L;>6L"
"Fish pie,Goa;Mumbai;Hyderabad;Kolkata;Bengaluru,urban,Non-Vegetarian,3-6L;>6L"
"Crispy baked fish,Goa;Mumbai;Hyderabad;Kolkata;Bengaluru,urban,Non-Vegetarian,3-6L;>6L"
"Fish souffle,Goa;Mumbai;Hyderabad;Kolkata;Delhi,urban,Non-Vegetarian,3-6L;>6L"
"Potato curry (Aloo ki sabzi),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Egg curry (Anda curry),All Indian States and UTs,both,Eggitarian,1-3L;3-6L"
"Vegetable curry with coconut ,Kerala;Tamil Nadu;Karnataka;Andhra Pradesh;Goa,both,Vegetarian,1-3L;3-6L"
"Curd with potatoes (Dahi aloo),Rajasthan;Uttar Pradesh;Haryana;Delhi;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Potato kofta curry (Aloo kofta curry),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Yam kofta curry (Zimikand/Suran kofta curry),Maharashtra;Madhya Pradesh;Uttar Pradesh;Bihar;Delhi,both,Vegetarian,1-3L;3-6L"
"Jackfruit kofta curry (Kathal ka kofta curry),Uttar Pradesh;Bihar;Jharkhand;Delhi;West Bengal,both,Vegetarian,1-3L;3-6L"
"Spinach and potato (Palak aloo),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Mooli bhujia,Haryana;Punjab;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Bathua bhujia,Haryana;Punjab;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Dry arbi (Sookhi arbi),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Masala arbi,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Peas brinjal bhartha (Matar baingan bhartha),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Crispy okra/Crispy lady's fingers (Karare bhindi),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Beans foogath,Goa;Karnataka;Kerala;Tamil Nadu;Maharashtra,both,Vegetarian,1-3L;3-6L"
"Stuffed bittergourd (wet) (Bharwa karele),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Jackfruit/Kathal (dry),Uttar Pradesh;Bihar;West Bengal;Jharkhand;Odisha,both,Vegetarian,1-3L;3-6L"
"Yam fried (Zimikand/Suran fried),Maharashtra;Madhya Pradesh;Uttar Pradesh;Bihar;Delhi,both,Vegetarian,1-3L;3-6L"
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Vegetable jalfrezi,All Indian States and UTs,both,Vegetarian,3-6L;>6L"
"Vegetables stir fry ,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Broccoli delight,Delhi;Mumbai;Pune;Hyderabad;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Dhansak (vegetarian),Gujarat;Maharashtra;Goa;Delhi;Hyderabad,both,Vegetarian,3-6L;>6L"
"Cauliflower basket,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Stuffed bottle gourd (Stuffed ghiya/lauki),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Ducheese potato,Delhi;Mumbai;Pune;Hyderabad;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Roast potatoes ,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Stuffed baked potatoes ,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Potato nests,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Parsley potato,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Creamed spinach and mushroom,Delhi;Mumbai;Pune;Hyderabad;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Fricassee of Mushroom,Delhi;Mumbai;Pune;Hyderabad;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Cauliflower au gratin,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Vegetable and cheese pie,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Spinach souffle ,Delhi;Mumbai;Bengaluru;Pune;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Beetroot and egg salad (Chukandar aur ande ka salad),Delhi;Mumbai;Kolkata;Hyderabad;Pune,urban,Eggitarian,3-6L;>6L"
"Sour cream potato salad,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Tossed green salad,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Spring basket salad,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cucumber and yogurt salad (Kheere aur dahi ka salad),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Chicken and tomato towers,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Jellied sunshine fruit salad,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Tomato aspic,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Frozen frosty fruit salad (Phalon ka salaad),All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"French dressing,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Mayonnaise without eggs,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Curd dressing,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Carrot raita (Gajar ka raita),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Pumpkin raita (Kaddu ka raita),Rajasthan;Haryana;Delhi;Uttar Pradesh;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Mint and peanut raita (Pudinay aur moongfali ka raita),Maharashtra;Gujarat;Rajasthan;Delhi;Haryana,both,Vegetarian,1-3L;3-6L"
"Spinach raita (Palak ka raita),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Bathua raita,Haryana;Punjab;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Pineapple raita (Ananas ka raita),Delhi;Mumbai;Kolkata;Hyderabad;Goa,both,Vegetarian,3-6L;>6L"
"Banana raita (Kele ka raita),Kerala;Karnataka;Tamil Nadu;Andhra Pradesh;Maharashtra,both,Vegetarian,1-3L;3-6L"
"Mango raita (Aam ka raita),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Guava raita (Amarood ka raita),Uttar Pradesh;Bihar;Delhi;Haryana;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Grapes raita (Angoor ka raita),Maharashtra;Delhi;Karnataka;Tamil Nadu;Goa,urban,Vegetarian,3-6L;>6L"
"Bottle gourd kheer (Ghiya/Lauki kheer),Rajasthan;Uttar Pradesh;Haryana;Delhi;Punjab,both,Vegetarian,1-3L;3-6L"
"Pumpkin kheer (Kaddu ki kheer),Rajasthan;Haryana;Delhi;Uttar Pradesh;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Apple kheer (Seb ki kheer),Delhi;Punjab;Haryana;Uttar Pradesh;Kashmir,both,Vegetarian,3-6L"
"Caramel custard (baked),Delhi;Mumbai;Hyderabad;Goa;Kolkata,urban,Vegetarian,3-6L;>6L"
"Vanilla ice cream without egg,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Vanilla ice cream with egg,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Eggitarian,3-6L;>6L"
"Strawberry ice cream,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Chocochip ice cream,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Choconut ice cream,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Pear chocholate sunday,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chocolate sauce,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Coffee ice cream,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Coffee pear alaska,Delhi;Mumbai;Hyderabad;Pune;Goa,urban,Vegetarian,3-6L;>6L"
"Crunchy butterscotch,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Peach melba ice cream,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Vegetarian,3-6L;>6L"
"Vanilla ice cream with apples in hot cherry sauce,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Vegetarian,3-6L;>6L"
"Grape and orange whip,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Honey banana cream,Kerala;Goa;Maharashtra;Karnataka;Tamil Nadu,both,Vegetarian,1-3L;3-6L"
"Raspberry bavarian cream,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Fruit delight,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Creamy chocolate mousse,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cold lemon souffle,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cold orange souffle,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Vegetarian,3-6L;>6L"
"Cold pineapple souffle,Delhi;Mumbai;Hyderabad;Goa;Pune,urban,Vegetarian,3-6L;>6L"
"Cold vanilla souffle,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cold chocolate souffle,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Vegetarian,3-6L;>6L"
"Stewed fruit (with pear),Delhi;Mumbai;Pune;Hyderabad;Goa,urban,Vegetarian,3-6L;>6L"
"Apricot fool,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Pavlova,Delhi;Mumbai;Goa;Hyderabad;Bengaluru,urban,Eggitarian,3-6L;>6L"
"Apple crumb pudding,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Steamed cake with chocolate sauce,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Hot lemon souffle,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Gulab jamun with milk powder,All Indian States and UTs,both,Vegetarian,1-3L;3-6L;>6L"
"Chum chum,West Bengal;Odisha;Assam;Tripura;Jharkhand,both,Vegetarian,1-3L;3-6L"
"Dil bahar,West Bengal;Odisha;Bihar;Assam;Jharkhand,both,Vegetarian,1-3L;3-6L"
"Rasbhari,West Bengal;Odisha;Bihar;Jharkhand;Assam,both,Vegetarian,1-3L;3-6L"
"Rajbogh,West Bengal;Odisha;Bihar;Assam;Jharkhand,both,Vegetarian,1-3L;3-6L"
"Rasgulla,West Bengal;Odisha;Assam;Tripura;Jharkhand,both,Vegetarian,1-3L;3-6L"
"Rasmalai,West Bengal;Odisha;Bihar;Assam;Jharkhand,both,Vegetarian,3-6L;>6L"
"Khoa coconut burfi,Delhi;Madhya Pradesh;Rajasthan;Uttar Pradesh;Maharashtra,both,Vegetarian,1-3L;3-6L"
"Danedar burfi,Delhi;Uttar Pradesh;Rajasthan;Madhya Pradesh;Punjab,both,Vegetarian,1-3L;3-6L"
"Semolina burfi (Suji/Rava burfi),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),Kerala;Goa;Maharashtra;Tamil Nadu;Karnataka,both,Vegetarian,1-3L;3-6L"
"Khoa ladoo,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Wheat and gram flour ladoo (Atta besan ladoo),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Semolina ladoo with nuts (Suji/Rava ladoo with nuts),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Sesame chickpeas brittle (Til aur channe ki chikki),Maharashtra;Gujarat;Rajasthan;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Murmura chikki,Maharashtra;Gujarat;Madhya Pradesh;Rajasthan;Uttar Pradesh,both,Vegetarian,<1L;1-3L"
"Masala onion pakora/pakoda (Pyaaz ke pakode),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Masala green chilli pakora/pakoda (Hari mirch kay pakode),Rajasthan;Haryana;Uttar Pradesh;Delhi;Punjab,both,Vegetarian,1-3L;3-6L"
"Chicken pakora/pakoda,Punjab;Delhi;Hyderabad;Kolkata;Bhopal,both,Non-Vegetarian,3-6L;>6L"
"Fish pakora/pakoda,West Bengal;Kerala;Goa;Odisha;Andhra Pradesh,both,Non-Vegetarian,3-6L;>6L"
"Paneer cutlet,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Sago cutlet/vadas (Sabudana cutlet/vadas),Maharashtra;Gujarat;Madhya Pradesh;Rajasthan;Delhi,both,Vegetarian,1-3L;3-6L"
"Poshtik cutlet,Rajasthan;Madhya Pradesh;Delhi;Uttar Pradesh;Haryana,both,Vegetarian,1-3L;3-6L"
"Egg cutlet (Anda cutlet),West Bengal;Odisha;Assam;Tripura;Jharkhand,both,Eggitarian,1-3L;3-6L"
"Minced meat cutlet,West Bengal;Odisha;Kerala;Goa;Hyderabad,both,Non-Vegetarian,3-6L;>6L"
"Vegetable samosa,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),Tamil Nadu;Karnataka;Kerala;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Masala urad dal vada,Tamil Nadu;Karnataka;Andhra Pradesh;Kerala;Telangana,both,Vegetarian,1-3L;3-6L"
"Khaman (dhokla),Gujarat;Maharashtra;Rajasthan;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
